LoanAmount,City,State,Zip,NAICSCode,BusinessType,JobsReported,DateApproved,MonthApproved,Lender,CD,NAICSCodeDefinition
149957.5,HONOLULU,HI,96813,238220,Corporation,14,2020-04-16T00:00:00Z,April,First Hawaiian Bank,HI-01,"Plumbing, Heating, and Air-Conditioning Contractors"
149900,HONOLULU,HI,96814,541990,Non-Profit Organization,17,2020-04-08T00:00:00Z,April,First Hawaiian Bank,HI-01,"All Other Professional, Scientific, and Technical Services"
149800,HONOLULU,HI,96816,722511,Corporation,42,2020-04-12T00:00:00Z,April,Central Pacific Bank,HI-01,Full-Service Restaurants
149800,HONOLULU,HI,96815,722511,Corporation,27,2020-05-27T00:00:00Z,May,"American Savings Bank, FSB",HI-01,Full-Service Restaurants
149700,AIEA,HI,96701,621111,Limited Liability Partnership,10,2020-04-06T00:00:00Z,April,"American Savings Bank, FSB",HI-01,Offices of Physicians (except Mental Health Specialists)
149657,CAPTAIN COOK,HI,96704,721110,Corporation,0,2020-04-16T00:00:00Z,April,Bank of Hawaii,HI-02,Hotels (except Casino Hotels) and Motels
149615,HONOLULU,HI,96816,621210,Subchapter S Corporation,0,2020-04-11T00:00:00Z,April,Bank of Hawaii,HI-01,Offices of Dentists
149500,KAILUA KONA,HI,96740,487110,Corporation,18,2020-04-09T00:00:00Z,April,First Hawaiian Bank,HI-02,"Scenic and Sightseeing Transportation, Land"
149455,MILILANI,HI,96789,238990,Limited  Liability Company(LLC),15,2020-05-08T00:00:00Z,May,Bank of Hawaii,HI-01,All Other Specialty Trade Contractors
149400,HONOLULU,HI,96815,722511,Corporation,33,2020-04-10T00:00:00Z,April,First Hawaiian Bank,HI-01,Full-Service Restaurants
149400,HONOKAA,HI,96727,722310,Corporation,41,2020-04-10T00:00:00Z,April,First Bank,HI-02,Food Service Contractors
149392,KILAUEA,HI,96754,722513,Corporation,0,2020-05-11T00:00:00Z,May,Central Pacific Bank,HI-02,Limited-Service Restaurants
149320,KAHULUI,HI,96732,238220,Limited  Liability Company(LLC),0,2020-04-12T00:00:00Z,April,Bank of Hawaii,HI-02,"Plumbing, Heating, and Air-Conditioning Contractors"
149300,PUUNENE,HI,96784,238990,Corporation,0,2020-05-08T00:00:00Z,May,Central Pacific Bank,HI-02,All Other Specialty Trade Contractors
149300,LIHUE,HI,96766,236220,Limited  Liability Company(LLC),11,2020-04-06T00:00:00Z,April,Central Pacific Bank,HI-02,Commercial and Institutional Building Construction
149200,HONOLULU,HI,96814,541512,Corporation,7,2020-04-07T00:00:00Z,April,"American Savings Bank, FSB",HI-01,Computer Systems Design Services
149100,LAHAINA,HI,96761,713990,Corporation,76,2020-04-13T00:00:00Z,April,First Hawaiian Bank,HI-02,All Other Amusement and Recreation Industries
149100,HONOLULU,HI,96813,541611,Subchapter S Corporation,10,2020-04-14T00:00:00Z,April,First Hawaiian Bank,HI-01,Administrative Management and General Management Consulting Services
149000,KAPAA,HI,96746,722511,Limited  Liability Company(LLC),26,2020-04-09T00:00:00Z,April,First Hawaiian Bank,HI-02,Full-Service Restaurants
148900,KAMUELA,HI,96743,722310,Limited  Liability Company(LLC),13,2020-04-16T00:00:00Z,April,First Hawaiian Bank,HI-02,Food Service Contractors
148900,HILO,HI,96720,238140,Corporation,17,2020-04-16T00:00:00Z,April,First Hawaiian Bank,HI-02,Masonry Contractors
148900,KAHULUI,HI,96732,531390,Corporation,0,2020-05-07T00:00:00Z,May,Central Pacific Bank,HI-02,Other Activities Related to Real Estate
148900,AIEA,HI,96701,238110,Corporation,13,2020-04-09T00:00:00Z,April,Central Pacific Bank,HI-01,Poured Concrete Foundation and Structure Contractors
148722,HONOLULU,HI,96819,238220,Limited  Liability Company(LLC),80,2020-04-28T00:00:00Z,April,First Hawaiian Bank,HI-01,"Plumbing, Heating, and Air-Conditioning Contractors"
148700,KAPOLEI,HI,96707,621210,Subchapter S Corporation,13,2020-04-05T00:00:00Z,April,Central Pacific Bank,HI-02,Offices of Dentists
148700,HONOLULU,HI,96816,238350,Limited  Liability Company(LLC),20,2020-04-09T00:00:00Z,April,Central Pacific Bank,HI-01,Finish Carpentry Contractors
148600,HONOLULU,HI,96813,611610,Corporation,42,2020-04-04T00:00:00Z,April,First Hawaiian Bank,HI-01,Fine Arts Schools
148600,EWA BEACH,HI,96706,485999,Corporation,17,2020-04-06T00:00:00Z,April,"American Savings Bank, FSB",HI-01,All Other Transit and Ground Passenger Transportation
148600,MOUNTAIN VIEW,HI,96771,424690,Corporation,14,2020-04-07T00:00:00Z,April,"American Savings Bank, FSB",HI-02,Other Chemical and Allied Products Merchant Wholesalers
148595,AIEA,HI,96701,531311,Limited  Liability Company(LLC),0,2020-04-15T00:00:00Z,April,Bank of Hawaii,HI-01,Residential Property Managers
148500,LAHAINA,HI,96761,561520,Corporation,13,2020-04-15T00:00:00Z,April,First Hawaiian Bank,HI-02,Tour Operators
148500,KAILUA,HI,96734,444190,Corporation,10,2020-04-04T00:00:00Z,April,"American Savings Bank, FSB",HI-02,Other Building Material Dealers
148500,KAILUA,HI,96734,238210,Corporation,16,2020-04-14T00:00:00Z,April,First Hawaiian Bank,HI-02,Electrical Contractors and Other Wiring Installation Contractors
148400,HONOLULU,HI,96814,446120,Corporation,23,2020-04-15T00:00:00Z,April,First Hawaiian Bank,HI-01,"Cosmetics, Beauty Supplies, and Perfume Stores"
148400,HONOLULU,HI,96814,541211,Corporation,7,2020-04-07T00:00:00Z,April,First Hawaiian Bank,HI-01,Offices of Certified Public Accountants
148300,PEARL CITY,HI,96782,325199,Limited  Liability Company(LLC),20,2020-04-04T00:00:00Z,April,Central Pacific Bank,HI-01,All Other Basic Organic Chemical Manufacturing
148292,LAHAINA,HI,96761,722511,Limited  Liability Company(LLC),20,2020-05-07T00:00:00Z,May,Bank of Hawaii,HI-02,Full-Service Restaurants
148200,KAPAA,HI,96746,561612,Corporation,23,2020-04-15T00:00:00Z,April,Central Pacific Bank,HI-02,Security Guards and Patrol Services
148200,KAHULUI,HI,96732,441320,Subchapter S Corporation,15,2020-04-30T00:00:00Z,April,First Hawaiian Bank,HI-02,Tire Dealers
148100,HONOLULU,HI,96814,722410,Corporation,0,2020-05-05T00:00:00Z,May,Central Pacific Bank,HI-01,Drinking Places (Alcoholic Beverages)
148000,KAHULUI,HI,96732,722513,Limited  Liability Company(LLC),28,2020-04-03T00:00:00Z,April,"American Savings Bank, FSB",HI-02,Limited-Service Restaurants
148000,HONOLULU,HI,96814,541310,Corporation,11,2020-04-09T00:00:00Z,April,Central Pacific Bank,HI-01,Architectural Services
147972.5,HONOLULU,HI,96826,531210,Limited  Liability Company(LLC),13,2020-04-28T00:00:00Z,April,First Hawaiian Bank,HI-01,Offices of Real Estate Agents and Brokers
147900,HONOLULU,HI,96826,541310,Limited  Liability Company(LLC),9,2020-04-05T00:00:00Z,April,Central Pacific Bank,HI-01,Architectural Services
147800,HONOLULU,HI,96819,445210,Corporation,17,2020-04-06T00:00:00Z,April,Central Pacific Bank,HI-01,Meat Markets
147800,WAILUKU,HI,96793,541110,Sole Proprietorship,8,2020-04-27T00:00:00Z,April,First Hawaiian Bank,HI-02,Offices of Lawyers
147700,HILO,HI,96720,621111,Sole Proprietorship,0,2020-04-12T00:00:00Z,April,Bank of Hawaii,HI-02,Offices of Physicians (except Mental Health Specialists)
147700,KAILUA KONA,HI,96740,561990,Limited  Liability Company(LLC),13,2020-04-07T00:00:00Z,April,"American Savings Bank, FSB",HI-02,All Other Support Services
147500,LIHUE,HI,96766,423990,Subchapter S Corporation,0,2020-04-13T00:00:00Z,April,Bank of Hawaii,HI-02,Other Miscellaneous Durable Goods Merchant Wholesalers
147487,HONOLULU,HI,96813,213111,Corporation,7,2020-04-27T00:00:00Z,April,First Hawaiian Bank,HI-01,Drilling Oil and Gas Wells
147400,HONOLULU,HI,96826,238990,Corporation,0,2020-04-30T00:00:00Z,April,Central Pacific Bank,HI-01,All Other Specialty Trade Contractors
147312.5,LAHAINA,HI,96761,453920,Subchapter S Corporation,12,2020-04-30T00:00:00Z,April,First Hawaiian Bank,HI-02,Art Dealers
147300,HONOLULU,HI,96813,811121,Corporation,11,2020-04-06T00:00:00Z,April,First Hawaiian Bank,HI-01,"Automotive Body, Paint, and Interior Repair and Maintenance"
147294,HONOLULU,HI,96817,561320,Limited  Liability Company(LLC),13,2020-07-24T00:00:00Z,July,"Kabbage, Inc.",HI-01,Temporary Help Services
147117.5,LAHAINA,HI,96761,713990,Subchapter S Corporation,12,2020-04-27T00:00:00Z,April,First Hawaiian Bank,HI-02,All Other Amusement and Recreation Industries
147030,AIEA,HI,96701,326111,Corporation,0,2020-04-11T00:00:00Z,April,Bank of Hawaii,HI-01,Plastics Bag and Pouch Manufacturing
147000,HONOLULU,HI,96817,524292,Subchapter S Corporation,20,2020-04-28T00:00:00Z,April,"TransPecos Banks, SSB.",HI-01,Pharmacy Benefit Management and Other Third Party Administration of Insurance and Pension Funds
146997.5,PUUNENE,HI,96784,238120,Subchapter S Corporation,7,2020-05-01T00:00:00Z,May,First Hawaiian Bank,HI-02,Structural Steel and Precast Concrete Contractors
146960,HONOLULU,HI,96813,541110,Non-Profit Organization,0,2020-04-28T00:00:00Z,April,Bank of Hawaii,HI-01,Offices of Lawyers
146800,HILO,HI,96720,624229,Non-Profit Organization,13,2020-04-14T00:00:00Z,April,First Hawaiian Bank,HI-02,Other Community Housing Services
146675,LIHUE,HI,96766,624190,Non-Profit Organization,19,2020-04-29T00:00:00Z,April,First Hawaiian Bank,HI-02,Other Individual and Family Services
